Text,Label,Predicted Senti
"رائع. الموقع ممتاز وقريب من جميع المرافق والهدوء والطاقم البشوش واخص بالشكر موظف الاستقبال رفيق للاحترافيه في التعامل وحسن الاستقبال.
",Positive,Positive
"ذق طعم الشواية و تمتع بالتجربة مقولة ذكرها صديق لي عن تجربته في تذوق الطعام لديهم مما شدني لتجربته و عند الذهاب اليه واجهت صعوبة في ايجاد موقف بسبب الزحاك و لقد وقفت بالطابور و قمت بشراء اربع انواع الرز التي لديه بالاضافة الى الدجاج الشواية لم اتأخر كثيرا صراحة و ذكرني بمطاعن البيك الطعم بالنسبة للرز صراحة كلها تتشابه و طعم البهار طاغي وهذا يعني لا طعم مميز الدجاج مشوي جيدا و البهارات ماجي إحدى مكوناتها و التي توضع داخل الدجاج تعطي نكهة جديدة لدجاج الشواية و هي نفس الخلطة التي يضعها الغرب داخل الديك الرومي سبب الضجة و الشهرة هو أنه باستايل مطاعم الوجبات السريعة في طريقة الطلب و طابور الارقام
",Positive,Negative
"انتهيت من قراءتها قبل يومين ... اذكر اني لم استطع ان اقفل الكتاب و لم تنفك دموعي تنسكب .. ليس لانها جديدة .. اكثر ما يؤلم من جرح جديد هو حين ينبش كاتب ببراعة ما تحتفظ به بين زوايا ذاكرتك .. تلك القصة .. تلك الاحداث .. مقدار الحياة و الالم كلها مرت بي باختلاف الاسماء و المكان .. مدهش كيف تتشابه قصصنا حد التطابق .. اجاد غسان نقل تلك الصورة و بعكس النقد الذي وجه اليه كانت البساطة التي ارتداها اقرب لقلبي لاحس بكل شيء .. كنت ممتلئة به .. ومازلت .. رائع
",Positive,Positive
"كتاب رائع لفهمي هويدي. كتاب يرد ويفند مزاعم العلمانيين اربع كتاب مصريين . ومزاعمهم بعدم مناسبة تطبيق الشريعه. اعجبني اسلوبه وطريقته في التوضيح للقارئ كذبهم وافتراءهم وسخافة حججهم. يستحق القراءة
",Positive,Positive
"جيد. الطاقم متعاون جدا النظافة الهدوء مناسب للعوائل وقريب من المطاعم والسوبر ماركت. النت بطيء المواقف ضيقه جدا وقليلة المسبح سيء
",Positive,Positive
"جيد. النادي الصحي طعام الافطار. هناك رائحة كريهه في الحمام
",Positive,Positive
"لا عجب ان كاتب الرواية قد انتحر ،، رواية من صفحات فيها صراع نفسي شديد تجعلك تفكر بالانتحار. انا بمجرد قرائتها بساعات قليله شعرت بضفط نغسي شديد ،، فكيف كانت نفسية كاتبها
",Positive,Negative
"العقيدة كالماء و الهواء ، يا مسلم اعلم و تعلم عقيدتك ، رحم الله شيخنا الأشقر
",Positive,Positive
"أحمد الشقيري الأنسان الذي لا تكفيني الكلمات لأعبر عن مشاعر الحسن السلام الرحمة والخير في داخلي. هذه المقدمة أتت لتصنف الفكر الذي يمكنني أن أتحدث عن طريقه حين أتحدث عن شيئ يكون قد أشرف عليه ككاتب أو بما يخص خواطره.. كتاب جميل يختلف بعض الشيئ في محتواه الكتاب ينقسم إلى قسمين القسم الأول والذي يتحدث عن رحلة أحمد الشقيري إلى الهند والقسم الثاني والذي يحدثنا فيه عن رحلته مع غاندي بأهم وأعظم الأمور التي أتخذها بطريقه ليحدثنا عن العبقري غاندي. إجمالا الكتاب جميل جدا بفكرته وبإحتوائه لبعض المعلومات الحقيقية والتي من الواضح أنها كتبت بشكل قصوي لتحل بعض القضايا المجتمعية لم أكتفي بالقسم الأول وددت لو طالت الرحلة لأتعرف إلى الهند أكثر الأمر الذي سوف يحفزني لزيارة الهند القسم الثاني كان رائع مليئ بالحكم ويعرفنا بغاندي بطريقة بسيطة ورائعة.
",Positive,Positive
"جيد. جديدنظيف جداموقع جيد بالنسبة للحرم. خدمة سيئة جدا حتى نقل الحقائب انا قمت بها بنفسي حتى عدد الاسرة في الغرف لايعرفون عددها تخيل حاجر اسرة عطوني اول ماوصلت الغرفة طلعت للغرفة بنفسي لايوجد احد معي واحمل الحقائب واجد الغرفة اسرة فقطانزل واتكلم مع الموظف ويطلع معي لم يصدقني ثم يعطيني الغرفة واجد بها زبون ساكنانزل للمرة الثالثة تخيل وأنا محرم يرسل عامل نظافة للغرفة ونجدها اسرة وأخيرا بعد لفه كاملة على الدور الرابعلايوجد تلفزيون يقول العمال لم يتم نركيب الصحن الدش لايوجد كفيلايوجد مطعملايوجد مواقف للسيارات مع العلم أني أخترت أثناء الحجز موقف مجاني
",Positive,Negative
"فندق رائع ويحترم العملاء . كل شيء اعجبني في الفندق الموظفين ودودين جدا ويحترمو النزيل ويلبوا رغباته بكل احترام. مرتبت السرير قاسيه نوعا ما المخدادات لم تناسبني .. قد تناسب غيري
",Positive,Negative
"اروع فنادق دبي . كل شي أعجبني : موقع الفندق مطل على البحر ورائع..الخدمات العامه وخدمات الغرف سريعه..تخطيط مجتمع الفندق اكثر من جميل..افراد الريسبشن كانوا قمة في الروعه خصوصا الأستاذ أحمد ..مصري الجنسية..أنصح الجميع بالتعامل معهم لقد قضيت اجمل الايام في هذا الفندق حيث أن معظم صوري في مدينة دبي هي صور لتحف ومسابح ومطاعم الفندق.... لا شيء
",Positive,Positive
"ممتاز . نعم. لا
",Positive,Positive
"مزيج من التاريخ وعلم الاجتماع والنفس باسلوب ساخر ومنهجية موضوعية
",Positive,Positive
"ممتاز . كل شيء ممتاز. السعر غالي حبتين
",Positive,Positive
"كتاب ممتع فعلا ...بن نبي الأستاذ يرافقك في تفاصيل حياته
",Positive,Positive
"يخربيت دي رواية يا جدع والله ههههههههههه. اولا الرواية اكثر من رائعه فكرتها قوية جدا وحقيقي هتكون سبب فتغير ناس كتير وانا اولهم .. هي فعلا غيرت فيا حاجات كتير وده من وانا بقرأها وأستشعرت اوي حلاوة الايمان والقرب من ربنا وقد ايه احنا كلنا ذنوب واكيد ربنا هيجزاكي كل الخير واللي هيتغير بسببك هيكون ان شاء الله في صحبتك في الجنه ... بس انا حابب اقول حاجة كمان انا في البداية كنت حابب اكمل الرواية للاخر لان فكرتها عجبتني بس كان اسلوب سرد القصه مكنش مشيق للدرجة الكافية كتير كنت بفكر مكملهاش بسبب كده بس الحمد لله اني كملتها للنهاية لان نهايتها تحفه بجد وفيها رسالة قوية ع قد ماانا مكنتش قادر امسك نفسي من الضحك ع النهاية الغير متوقعه بس حقيقي اكبر تحية ليكي انتي كاتبه موهوبة وبالتوفيق ان شاء الله في الاعمال القادمة
",Positive,Positive
"شكرا لطاقم العمل وللاستقبال . الموقع والخدمات الابتسامه من طاقم العمل. لايوجد
",Positive,Positive
"جيد. . الواي فاي ليس مجاني بينما في شقق اقل تجدها مجانيه
",Positive,Positive
"استثنائي. فندق جديد ومنطقه جديده اخرى في دبي يبدو ان عذا الفندق سيكون ضمن الفنادق الراقيه في دبي فهو يختار الموظفين بعنايه.
",Positive,Positive
"الرواية ممتازه واسلوبها جديد عليه تماما من اجمل الروايات. اللى قريتها بعد عزازيل. جمله قصيره لكنها معبره وغايه فى الجمال. مازلت اتذكر بعض جملها. يازينب وانا اواصل الكتابه اليك تبداين تفرضين حضورك. على كيانا مضبب الملامح يواصل فعله بى يتشربنى اخذا منحاه لان يتماهانى. الحب حالة تماهى الانا عبر الاخر. يازينب الغائبة ابدا والحاضرة فى الوجدان. انا الحاضر هنا لست انا الذى كنته. الحزن شان البشر اصناف شتى منه المقيم ومنه العابر. التفاؤل مجازفه كبيره لدى امثالى. اخذت وجهها دهشتها. مشقه ان يعيش الواحد مفتقدا اسباب بقائه حيا. غافل انا حد اللامسؤلية ام مغفل حد الغباء
",Positive,Positive
"رائعة...
",Positive,Positive
"بكل ثقة، أفضل رواية صدرت في حتى الآن.
",Positive,Positive
"رائع. كل شيء. حجزت غرفة مدخن ولم تتوفر
",Positive,Positive
"تكمل رضوي عاشور رحلة الإبدااع .. حاجة كدا متتوصفش بكلاام .. حبيت ندي جدا وعشت معاها كل لحظة مكنتش عاوزة الرواية تخلص .. ايه السلاسة والجمال دا ؟ . مفيش فيها غلطة واحدة بس. يلا مفيش كلام يوصف رضوي أصلا. ربنا يرحمك يا رضوي
",Positive,Negative
"لي تجربة أخرى . النظافة ممتازة. الخدمات بعيدة
",Positive,Positive
"ممتاز. جميل.
",Positive,Positive
"ممتاز . كل شىء. عدم وجود واى فاى مجانى فى الغرف
",Positive,Positive
"قد كان حلمي أن يزول الهم عني. عند بابك. قد كان حلمي أن أرى قبري. على أعتابك. ألمح كفني وكان الموج. أرحم من عذابك. وبخلت با وطني بقبر يحتويني في ترابك. فبخلت يوما بالسكن. والآن تبخل بالكفن. ماذا أصابك يا وطن. . صرخت والكلمات تهرب من فمي: هذي بلاد ... لم تعد كبلادي
",Positive,Negative
"ديوان جميل بحب بساطة احمد العايدى قوى وفيه اكتر من قصيدة تحفة زى:. شكرا يارب. رعشة الرغبة لبريئة. لصمنى. الفقرة اليتيمة. قطع صغير. اخر حد بيحبك. ليه عجبانى جداااا . وطبعا مش محتمل دى تحفة. معرفش امتى بقيت كده. مش محتمل . ميحبنيش بين البنات. غير اللي بيحبوا الألم. صدري اتفتح للهوا. لكن أنا... مقفول. تعمل ايه يا طبيب. في اللي عماه الأمل. حتى اللي فهمت فيا حتة. مكملتشي. سكة يمكن لو سابتها. كات حتمشي. لازم أداري الدمع. بالضحك الرخيص. ودا م الخجل... معرفش امتى بقيت كده. مش محتمل . وحشتينى لقيت نفسى بجيب اسمك واضغط.
",Positive,Negative
"يحكم معظم الناس على الكتب بناء على الغلاف، وهو الشائع. أما البعض الآخر مثلي أنا نحكم عليه من أول صفحاته؛ أسلوب الكتابة هو ما يجعلني أستمر في القراءة.. في هذه الرواية تحديدا، قرأت أول صفحاتها وشعرت كأنها تكملة لكتاب آخر، فالكاتب بدأ يسرد في الحكاية وكأن القارئ يعلم عما يتحدث.. توقفت عن القراءة ووضعت الكتاب جانبا، استغربت كثيرا لما تحصل علي هذا التقييم العالي؟ صحيح أن أذواق الناس تختلف، ولكن كل من أسأله وأقرأ منه عليه تجده يمدح فيه ويقول استمري في القراءة، إنها رائعة . لم أعرهم أي اهتمام، وقرأت عدة كتب أخرى، ولكن شاء القدر أن يجعلني أفكر فيه، و وجدت زميلة لي شجعتني على قرائته معي.. بدأت وتعمقت، و وقعت هذا الكتاب من تلك الكتب الذي تجد نفسك تفكر فيها وتتساءل عليها، أحسست بأني فعلا معهم، شعرت بالحزن الذي يشعرونه، بالفرح، باللاستياء، بل حتى بطعم الفطائر التى يأكلونها.. عشت معهم فرحهم وحزنهم، وما أكثر حزنهم . تبدأ الرواية بالجد وتنتهي بحفيد الحفيدة. فلكم أن تخيلوا كم من مواقف عشتها معهم.. أبدعت رضوى عاشور فيها، وبالتأكيد سأقرأ كل ما كتبته بإذن الله.
",Positive,Positive
"نحن نتكلم عندما توصد أمامنا أبواب السلام عن افكارنا ، وعندما نعجز عن الوصول لحالة السكون في وحدة قلوبنا ، نتحول لنستولي على شفاهنا ، فالصوت يلهينا ويسلينا ، وفي الكثير من كلامنا يكاد فكرنا ينفجر من الألم والكآبة ، لأن الفكر طائر من طيور الفضاء ، يمكنه ان يبسط جناحيه في قفص الألفاظ ، ولكنه لا يستطيع أن يطير.
",Positive,Positive
"رائع. الموقع ممتاز بوفيه الافطار اكثر من رائع. الانترنت كان ضعيفا
",Positive,Positive
"آفاقا جديدة من نهر المعلومات التاريخية
",Positive,Positive
"رواية جميلة اجمل من المسلسل بكثير ....بدايات احمد مراد المبشرة
",Positive,Negative
"التعليق الخاص بأخى الأكبر د/محمد إبراهيم على الكتاب شافى ووافى. :// . . / / .... كتاب مهم جدا وأرشح قراءته بشدة . خصوصا لمن يحسب نفسه ضمن شباب التيار الإسلاموى.
",Positive,Positive
