Text,Label,Predicted Senti,Predicted Score
"we purchased this game about a year ago and all the kids here enjoy playing it ... ages 3 through 10.  it's challenging enough for the older kids to catch the falling butterflies and easy enough for the little ones to gather them up off the floor.  we've had great times with this game and it's quick enough that those with short attention spans can finish the game without upsetting the rest who still want to play.  i've found that the batteries even last quite a while in this one, which is unusual for games of this nature.  the only trouble that i've found with this game is; sometimes the butterflies come out in larger groups rather than a couple at a time.",Positive,Positive,0.046103735
this game is so much fun!  my twin 4yr. old boys just received it for their birthday and it has brought hours of fun to our home.  it promotes great hand-eye coordination and gets them to play together and share!  lots of team work going on here -- they work to pick up all the butterflies after the game is over and put the elephant trunk back in place!  there's so much competition to see who can catch the most butterflies but there's no fighting or arguing!  what a pleasure.the game does go by quick but i think that's great especially when you factor in the attention span of two 4 year olds.  they really need for things to keep moving.  there's no sitting idle with this game.  you've got to be quick on your feet to play!the durability isn't bad but not great either.  you've got to be careful with the nets as to not be too rough and break them.  the elephants trunk needs to be treated with care so that it doesn't get kinked or torn -- i think it could be a bit shorter as well. i do wish that there were more butterflies because it seems as though they'd have even more fun if it didn't go by so quickly.  it really doesn't take long for all the butterflies to come up through the trunk and then it's over.  back to the beginning!i do give this game a 4 star rating just because it is so much fun to watch them play together and get so excited to count how many butterflies each of them have caught at the end of the game!!!,Positive,Positive,0.15072954
"my three year old son saw this advertised and asked for it as a present - the only time he has ever done this for any game or toy.the game comes with:* large blue elephant fan base and translucent plastic trunk* thirty rip-stop nylon butterflies* several butterfly markers for keeping score* four mesh nets for catching butterfliesthe unit requires 4 ""c"" batteries (not included.)when powered on, a quiet fan in the elephant base pushes air up the elephant's trunk forcing the butterflies out. players try to catch the butterflies in their nets. our family has played this game and enjoyed it. catching the randomly fluttering butterflies is an excellent eye-hand coordination activity. and even though the game is geared for younger kids, there is enough of a challenge that all ages can play and enjoy it. (one of the nicest things about the game is that it really does not matter who wins, the game play is fun enough in itself. we don't even keep score and no one minds.)elefun is not without its issues, though:1. plays quickly, but then it takes considerably more time to get it ready for the next round of play than it takes to actually play.2. the trunk has to be extended manually even with the fan on at the beginning of play. once fully extended, it will stay up.3. eats batteries like mad. the fan works best with fresh batteries and the quality of play goes down quickly (not all the butterflies will come out) if the batteries are not 100%. a dc adapter option would have been nice.4. while the entire set is durable, the trunk is a bit suspect. made out of a plastic a bit thicker than a plastic garbage bag, it is subject to holes as it gets repeatedly crinkled during normal play. our son inexplicably took a scissors to it, but fortunately it was repairable (though we lost a bit of length.)all things considered, the game is fun and a good activity for young children. what kind of value it is for the money is debatable - a friend gave us this game, so it's a win-win for us. batteries are an issue, however, and i would seriously recommend purchasing a big set of rechargeables anyway for any parent who buys battery-reliant toys. considering how fast you'll use up batteries with elefun, you'll save money in the long run if you do so.",Positive,Positive,0.36823317
"i will start off by saying that i really don't agree much with the other reviewers.  as a parent, you have to have a little sense in how to operate some of these toddler toys.  they're not made of steel nor are they completely idiot-proof. yes, the trunk does not go up immediately when you turn it on, that's why you're supposed to pull it up yourself, according to the directions.  also, the butterflies have no problem coming out of ours - you can see them when they're about to come out and if they get stuck, just tap on the trunk and out they come.this is such a fun toy for a three-year-old and is marvelous in developing hand and eye coordination.  plus, all the giggles that it creates is just amazing and fun.  i had a bunch of fun playing as did my husband too.  it would be nice if there were a few more butterflies but all-in-all, i'd buy this for everyone i knew.  it's just a great way to entertain children and teach them at the same time.  it is very durable, even the nets but you have to teach the children not to treat them like they're made of flint.  this toy is made to be realistic in the netting so it also is teaching children how to better care for their things.  buy this game, you certainly won't be disappointed.",Positive,Positive,0.3390508
"i look for toys that are fun and easy to play with. i also look for toys that are educational or inspire exploration of the world around them. i want toys that are not really loud as well.this toy fits many of these requirements.my four year old son got this for his birthday and has loved it ever since.like the other reviewers, the trunk does not go all the way up when you first turn the fan on. however, that doesn't take away from the fun of the game. in fact, we just cut the top few inches off of the trunk and that seems to have made the difference.catching butterflies is harder than it looks. that is part of what adds to the fun. they also come out in spurts. you might get four butterflies and then one and then ten. all of this just adds to the fun. catching the butterflies encourages eye and hand coordination and quick thinking.my only complaint is that more butterflies would be fun. there are plenty of butterflies but it doesn't take too long to play because they come out fairly quickly.however, this is great for young children who have a short attention span. you can finish one or two games and call it quits before they get bored.we haven't found this to be a battery eater.in general this is just a fun game with one or two small flaws that are easily overlooked when playing a game with your kids.enjoy.",Positive,Positive,0.06000638
"could have been much better made.  my complaints are the same as some of the other reviewers.  the trunk has to be extended manually at the beginning of each game (maybe more flexible material would have helped).  there need to be way more butterflies, especially since they don't come out right.  at the end of each game there are still a few, if not many, butterflies left inside the bottom.  it also goes through batteries pretty quickly.two year old loves this game so it is worth the bit of hassle for his enjoyment.  i also think this is an excellent way to improve hand-eye coordination and reflexes.  definitely room for improvement but still a decent buy for the price.",Positive,Positive,0.112741016
"i bought this toy for my son's second birthday.  he absolutely loved it but was soon using the net as a swing (he sat on it).  consequently, the toy fell apart and continues to fall apart very easily.  granted, my son shouldn't of sat on it but my two year old wanted to play with it that way. what can you do huh? anyway, even though it falls apart, he likes to turn it on and watch it shake and talk while he kicks the ball into it. when it does fall apart, he can put it back together himself.  this toy would have gotten a better review if it had been made sturdier but that is my only complaint.",Positive,Negative,0.91745555
we bought this toy for our three-year-old to learn soccer and what a great purchase!  he really has a bunch of fun kicking that ball into the goalie and hearing the crowd cheer! it sure is goofy but a great idea and a lot of fun.,Positive,Positive,0.0019015699
"i bought this for my 2 year old daughter because her cousin had one and she loved it...all the kids love it. just be weary of them sticking other things inside....we've had to take it apart 3 times already to get other things besides the balls out, but it wasn't too difficult. my son enjoyed it also and learned very quickly to hit the button to start the balls popping...and putting them down the chute is great learning for him also.",Positive,Positive,0.009110826
"this was a gift for my daughters 1st b'day last december and i've just recently opened the box as i didn't think there would be much interest in it. wow! my little girl and my 5 yr old boy both loved it and played with it for about 1 hr and would start over again every time they saw it. the only reason i didn't give it 5 stars was b/c the balls are very light so the air can ""pop"" them up, so they were sometimes going back into the tube but many times were getting shot onto the floor. fortunately, that was part of the fun for my kids as they raced to get the balls and put them back. they both got their hands stuck in the tube (i guess they reached in there b/c they were curious??) but i was able to turn off the air and set them free w/no harm done. overall, a great and entertaining toy for boys and girls of a wide age range!!",Positive,Negative,0.71057874
