Text,Label,Predicted Senti,Predicted Score
"wonderful. the location is excellent, close to all amenities, quiet staff, and a special thanks to the receptionist, companion for professionalism in handling and good reception.
",Positive,Positive,0.0009410281
"taste the taste of the grill and enjoy the experience. a friend said to me about his experience in tasting the food they had, which attracted me to try it. when i go to it, i had difficulty finding a position because of the zahk. he reminded me of pick-up flavors, the taste for rice is frankly all similar to the flavor of the spice is overwhelming and this means no distinctive taste the chicken is well roasted and spices maggie one of its components that are placed inside the chicken gives a new flavor to the grill chicken and is the same mixture that the west puts inside the turkey the cause of the noise and fame is that it is by style restaurants for fast food in the demand mode and queue numbers
",Positive,Negative,0.76932067
"i finished reading it two days ago ... i remember that i could not close the book and my tears did not spill .. not because it is new .. the most painful thing about a new wound is when a writer brilliantly exudes what you keep between the corners of your memory .. that story .. these events .. the amount of life and pain all passed through me according to the names and location .. amazing how are our stories similar to the limit .. ghassan managed to convey that image and unlike the criticism that was directed to him the simplicity that he wore was closer to my heart i feel everything .. i was full of it .. and still .. awesome
",Positive,Positive,0.17884107
"a wonderful book for fahmy howeidi. a book that responds and refutes the claims of the laymen, four egyptian writers and their allegations that the application of sharia is not appropriate. i liked his style and his way of explaining to the reader their lies, slander and ridiculous arguments. worth reading
",Positive,Positive,0.37131697
"good. the staff is very helpful and the cleanliness is calm suitable for families and close to restaurants and supermarkets. the internet is slow, the parking is very narrow and the pool is bad
",Positive,Positive,0.03286837
"good. health club breakfast. there is an unpleasant smell in the bathroom
",Positive,Negative,0.91772693
"no wonder the writer of the novel committed suicide, a novel with pages of intense psychological struggle that makes you think about suicide. as soon as i read it for a few hours, i felt a severe numbness, so how was the psyche of its writer
",Positive,Positive,0.035849474
"ideology is like water and air. o muslim, i know and know your faith, may god have mercy on our blond sheikh
",Positive,Positive,0.10531809
"ahmed al shugairi is a person whose words are not enough for me to express the feelings of goodness, peace, mercy and goodness within me. this introduction came to classify the thought that i can talk about when i talk about something that he has supervised as a writer or regarding his thoughts .. a beautiful book differs somewhat in its content the book is divided into two parts the first section, which talks about ahmed al shugairi&#39;s journey to india and the second section which in it he tells us about his journey with gandhi, the most important and greatest of the things that he took his way to tell us about the genius gandhi. in general, the book is very beautiful in its idea and it contains some real information, which clearly wrote utterly to solve some societal issues. i did not content myself with the first section and i wanted to extend the trip to get to know india more, which will motivate me to visit india.
",Positive,Positive,0.4569932
"good. new, very clean, good location for the campus. very bad service until i transport the bags. i did it myself, even the number of beds in the rooms. for the third time, i imagine i am a mahram, sending a cleaner to the room, and we find a family. finally, after a complete roll on the fourth floor, there is no tv. workers say the dish is not installed. there is no villa.
",Positive,Negative,0.78316456
"great hotel and respectful of customers. everything i liked about the hotel is the staff is very friendly, respectful and respectful of the guest. the mattress is very rough, the pillows didn&#39;t work for me ... it might suit someone else
",Positive,Positive,0.017343478
"dubai&#39;s finest hotels. everything i liked: the location of the hotel overlooks the sea and is wonderful..general services and room services are fast..planning the hotel community more than beautiful..respection personnel were a summit in magnificence, especially professor ahmed..egyptian nationality .. i advise everyone to deal with them i spent the most beautiful days in this hotel as most of my photos in dubai are pictures of antiques, swimming pools and restaurants of the hotel .... nothing
",Positive,Positive,0.1748962
"excellent . yeah. no
",Positive,Positive,0.0014064809
"a mixture of history, sociology and psychology with an ironic style and objective methodology
",Positive,Positive,0.014136907
"excellent . everything is perfect. the price is expensive two pills
",Positive,Positive,0.027876645
"a really interesting book ... ben nabi, the teacher, accompanies you in the details of his life
",Positive,Positive,0.00868507
"i ruined this novel, oh god, hahahahahahahaha. firstly, the novel is more than wonderful. its idea is very powerful and real. it will be a reason, so many people change, and i am the first of them .. it really changed many needs. this is from me. i read it and felt the sweetness of faith and closeness to our lord. and what we have all our sins and sure of our lord will reward you with all the good that will change because of you will be that god willing, in your company in paradise ... but i wanted to say, i also need something, at the beginning, i wanted to complete the novel for the other because i liked it, but the way the story was narrated was not interesting enough enough, i was thinking of complementary because of this, but thank god i completed it for the end because its end is a masterpiece hard and has a strong message, i may not be able to hold myself it is laughter about the unexpected end, but it is a real bigger greeting to you, you are a talented writer, and good luck, god willing, in the upcoming works.
",Positive,Positive,0.17575169
"thanks to the staff and for the reception. the location and services of the smiling staff. there is no
",Positive,Positive,0.017015127
"good. . wi-fi is not free, while in less apartments it is free
",Positive,Positive,0.10194698
"exceptional. a new hotel and another new area in dubai it seems that this hotel will be among the prestigious hotels in dubai as it chooses the staff carefully.
",Positive,Positive,0.043426104
"the novel is excellent, and its style is completely new to it, from the most beautiful novels. elly, her village after azazel. a short sentence, but it is expressive and extremely beautiful. i still remember some of her sentences. eazinb, and i keep writing to you, you start imposing your presence. on a faded entity, he continues to do me a drink, giving him a chance to show off. love is the state of alana&#39;s identification with the other. yazinab never absent and present in the conscience. i am the one here i am not who i was. sadness, human beings varied from resident and from transit. optimism is a great risk for my likes. her face took her astonishment. it is hard for one to live without losing his reasons for being alive. unaware, i am the extent of irresponsibility, or foolish, the extent of stupidity
",Positive,Positive,0.26011384
"a wonderful...
",Positive,Positive,1.6818642e-08
"with confidence, the best novel published in so far.
",Positive,Negative,0.939527
"wonderful. everything. booked a smoker room and not available
",Positive,Positive,0.0077260532
"razavi ashour completed the journey of creativity .. this is something that is full of words .. i loved very dearly and lived with her every moment. . there is only one mistake. at night, there is no description of razavi originally. may god have mercy on you, razavi
",Positive,Negative,0.53706294
"i have another experience. excellent cleanliness. the services are far
",Positive,Positive,0.021933032
"excellent. nice.
",Positive,Positive,0.00013602557
"excellent . everything. no free wi-fi in the rooms
",Positive,Positive,0.001260894
"my dream was that the worry would go away from me. at your door. it was my dream to see my grave. on your doorstep. i hinted as a technician and it was a wave. more merciful than your torment and i spared my homeland, a grave containing me in your soil. so i was confused with housing. and now hold back the shroud. what happened to you, my country? . i screamed and the words run from my mouth: these are countries ... they are not my country anymore
",Positive,Positive,0.45683834
