Original Tag,Senti Score,Original Text
Negative,Negative,"مخيب للأمل. تعامل بعض الموظفين وكثره الاصنصيرات. كل شي خدمه الغرف لازم تدفع كاش وأي طلب لازم الدفع كاش اول مره اسكن في فندق يتعامل بهالاسلوب هل السبب عدم الثقه بالنزلاء والنظافة اول مسكنت الغرفه سيئه والغرف الي بصوره ليست هي الي بالطبيعة
"
Negative,Negative,"مخيب للأمل. كبر مساحة الشقه. بعد الشقه عن المترو ،وجود حشرات داخل الشقه ،عدم تعبئة الماء والاكتفاء بمره واحده فقط ،الاطلاله سيئة للغايه ،روائح الاكل الهندي في كل صباح
"
Negative,Negative,"واحدة من أسوأ الروايات اللي قريتها أو هي أسوأهم بلا منازع، أنا عندي عليها ملاحظات كتير جدا، وكنت ناوي أكتبها في مراجعة طويلة، لكن حاسس بإنهاك شديد بعد قراءتها، ويتملكني شعور اللي عايز يخلد للنوم أخيرا بعد رحلة منهكة، ومش عايز اقوم من النومة دي إلا وانا ناسيها.
"
Negative,Negative,"إنها حقا ملحمة، قسطنطين، قتل أباه الأمير لأنه حاول خيانة بلده وأخفى الأمر عن الجميع، ومن ثم تحمل هو وزر خيانة أبيه ليحمي شرف أبيه ومجده.. فلم يحكموا عليه بالموت، بل بالبقاء حيا يناله بصاق الغوغاء وأكفهم، قتلته من أحبها لأنها تعلم أن الموت عليه أهون من أن يداس على شرفه.....الشرف .....تاج الرجل وعزه....فإذا ذهب، فلا رجولة ولا رجال.. من السطور الجميلة.... إننا الآن في حرب مع عدو قاهر جبار ننقم منه جوره وظلمه واستضعافه إيانا واستطالته علينا بقوته وكثرته، فجدير بنا ألا نفعل ما ننقمه منه ونأخذه به، عسى أن يرحمنا الله وينظر إلينا بعين عدله وإحسانه وينتصف لضعفنا من قوته، وقلتنا من كثرته.. إني لا أعرف شرفا غير شرف النفس، ولا نسبا غير نسب الفضيلة.. إننا ما أصبنا بما آصبنا به من هذه النكبة الشعواء والداهية الدهياء التي نزلت بنا....إلا من ناحية كبريائنا وخيلائنا واعتدادنا بأنفسنا في جميع شؤوننا وأعمالنا، واحتقار غنينا لفقيرنا، وقوينا لضعيفنا، وسيدنا لمسودنا، فسلط الله علينا ذلك العدو القاهر الذي لا يعتمد في جميع شؤونه ومواقعه إلا على قوته وأيده، لأننا لم نعتد في يوم من أيام حياتنا في جميع صلاتنا وعلائقنا إلا على قوتنا وأيدينا، والجزاء من جنس العمل، وما ظلمهم الله ولكن كانوا أنفسهم يظلمون.. الناس مراءون مخادعون يزعمون لأنفسهم من الفاضئل والمزايا ما تنكره نفوسهم عليهم، فهم يحتقرون المذنب ويزدرونه لا لأنهم أطهار أبرياء كما يدعون، بل ليوهموا الناس أنهم غير مذنبين، ولو أنهم تكاشفوا أو تصارحوا وصدق كل منهم صاحبه بالحديث عن نفسهه لتتاركوا وتهادنوا ولما آخذ أحد منهم أحدا بذنب ولا جريرة.. تعلم يا أبت أن التاج الذي يتناوله متناوله من يد عدوه ليس بتاج شريف....ولكنه تاج على أي حال.. إن الرجل الفاضل الشريف يعيش من شرفه وفضيلته في سعادة يهنأ بمثلها الملوك في قصورهم.. هنا ذرفت عينا ذلك الرجل العظيم الذي لم يبك في يوم من أيام حياته لضربة سيف، أو كعنة رمح، أو رشقة سهم، وعلا صوت نحيبه ونشيجه كما يفعل النساء الضعيفات في مواقف حزنهن وثكلهن، وما كان مثله أن يبكي أو يذرف دمعة واحدة من دموعه لو أن الذي كتب له في صحيفة الغيب من الشقاء، كان الوقوف بين السيف والنطع....ولكنه الشرف، شديد جدا على صاحبه أن تنزل به نازلة مذلة، أو أن يتصل به ظفر جارح من أظفار الهوان، فإذا شعر بشيء من ذلك هاله وراعه، وخارت عزيمته ووهنت قوته، فبكى بكاء الضعفاء، وأعول إعوال النساء.
"
Negative,Positive,"تعامل سيره للغايه . لم يعجبني شى. في مدير ليلي جديد أخذ من عندى درهم و لم يعطنى إيصال استلام من المبلغ. بحجه أن زميلي الي بغرفتى لم يسجل ك زميل بس يسجل ك زاىر
"
Negative,Negative,"سيئ جدا . . لايوجد اسرة اطفال الفرش قديم جداوجود روائح بالغرفه
"
Negative,Negative,"وكيف لا يحبنا من نفخ فينا من روحه، وأسجد لنا ملائكته، وسخر لنا أكوانه وفتح للمذنبين منا كنوز مغفرته، بل نظلمه اذا ساوينا بين حبه وأي حب من هذه الهزليات التي نقرؤها.. بل لا يساوي حرماننا من حبه حرماننا من أي حب ولا حرماننا من أي غال.. ولا يساوي غصبه علينا أي غضب.. وعلى خطايانا يجب أن نبكي حقا، وليس على أي هجر أو اي فراق، أو أي مرض أو أي موت،. وذلك حال الذين قدروا الله حق قدره.
"
Negative,Negative,"هو مبدأيا. وبعيدا عن الغلطة التاريخية في الرواية انه طارق بن زياد حرق السفن لانه ده محصلش. ولانه الباشا المؤف مكلفش نفسه يراجع زي مابيعمل كل مرة. أنا مش عارف ازاي في حد من أول المؤلف لحد اصغر واحد في دار النشر جاله قلب يوصف المكتتوب ده برواية اصلا. رغم كل التحذيرات اللي كتبها الناس هنا إلا إني قلت الناس في الفترة الأخيرةوأنا منهم ظالمين نبيل فاروق قوي. فقلت أجرب يمكن في حاجة مختلفة. بس الحقيقة إنه الكتاب حتي أقل بكتير جدا من اي حاجة قريتها قبل كده. في الاول انا كنت باقول انها اخرها يتعمل ليها عدد من كوكتيل ونخلص. انما بعد لما خلصتها وخصوصا النهاية السخيفة ليها. الحدوتة دي ولا تستاهل تتطبع علي ورق اصلا. عزائي الوحيد اني قريتها بي دي اف ومدقعتش فيها فلوس. ومش عارف كنت هطاوع نفسي ازاي وادفع فيها جنيه من سنتين لما نزلت في معرض الكتاب. انا عارف انه الريفيو مش نقد ادبي خالص وانه راي شخصي. بس الرواية مفيهاش ريحة الادب حتي. لحد من الرواية بيحكي حدوتة التميمة عبر العصور. وفي الاخر تطلع الحكاية كلها حدوتة اتلانتس اللي نبيل فاروق فلق دماغنا بيها في كل اعداد كوكتيل
"
Negative,Negative,"فندق غير مهتم براحة العملاء . الافطار كان متغير المستوى من يوم ليوم. خدمة الغرف غير متواجدة الا نادراوموظفوا الاستقبال لا يردوا على الهاتف الا نادرا
"
Negative,Positive,"الخساره . . الفندق غالي جدا مقارنة السعر بنوع الغرفأسرة الغرف قاسية جدا الفندق يتعامل كمكان ترفيه. والخدمات المقدمة أسعارها غاليه جدا
"
Negative,Positive,"الادارة تتعامل بأسلوب غير لاءق والمكان غير هادىء الفطور الأكل المتوفر درجه رابعة موظف النظافة ممتاز . موظف النظافة للغرف. الاداره وأسلوبها الفوقي مع النزلاء وجبة الإفطار لم تكن بالمستوى المطلوب بالاضافة الى أخذ أوحجز مبلغ درهم لحين المغادره والقيمة الاضافيه ممنوع اصطحاب اي شخص للغرف
"
Negative,Negative,"كانت حمل ثقيل علي، أجبرت نفسي على عناء انهاءها حتى لا تفوتني التحفة الأدبية التي شغلت العالم وشغلت رفوف الأكثر مبيعا.. لم أجد إلا رواية بها كل أنواع الكفر، وسوء الأدب مع الله، وكرامات ومعجزات الدراويش التي وصلت إلى أنه ينفخ الروح بقطعة حلوى شكلت على هيئة طير.
"
Negative,Negative,"حين انتهيت من هذا الحديث الداخلي بين جوانح السارد ، و الذي تعمد أن يترك الجواب عن سؤاله / العنوان معلقا بين غمازيتن ذكيتين و حارتين ، علمت أن غسان وصل إلى منطقة العبث الروحاني ، و رأى الحياة كمهلة تافهة بين طورين من حرب ضروس . ليلى هي الوجه الآخر لجريمة الولادة ، لذاك الحبل الذي يأخذك و أنت مفتح العينين نحو الهاوية ، فإما أن تبوح بأكثر من غضب أو أن تقعد ملوما على كرسيك الهزاز النفسي ، لا تنطق بصوت سليب غير صوتك الحر الدفين . صالح / المحامي فضل البقاء متقوقعا عن الآخرين ، ترك لل صدفة أن تعبر مسار حياته إعصارا فتغير ما تراه هي واجبا للتغير دون أن يكون له الحق الفصل في أن يطيح بعلامة استفهام أو يردح نقطة تواصل . صالح الذي ما التمس من صلاحه إلا حين وجد نفسه قبالة مرآة شديدة الصفاء قناعه الحق / الحقيقي فتبين له أن لا جدوى من الكلام / التفسير / المعالجة الإصرارية توضيحا / ، علم أن كل ما سوف يقال قد قيل سابقا ، و لن يغير شيء من تحركات المدافعين عنه و حتى مريديه و مغرقيه من فجاجة الحكم ، أكان قدرا هو ما أنزله إلى عرين الغول فاستوحشت به النفس نفورا ليرضى بتمثيل دور الميت ؟ أم أنه اكتفى بأن يصفق و يحلل و يضحك و يسخر من علامات الترقيم التي وضعها الآخرون أمامه / حوله / بينه / فوقه / تحته ؟. ليلى . قتلت .. أم رحلت أم فقط انتهى دورها المعتاد في القصة و بالتالي فتحت مجال رؤية واسع ليتحدث الممسك الأعلى بخيوط الحكاية ، و يخلط لونها على ظل عابر و إسم مرمي و أحداث تافهة اعتلى نبضها على وقع حياة / نهاية معدة سلفا .. لماذا لم يبهرني العمل ؟؟ لماذا أعطيته نجمتين من أصل لأنه ببساطة لمست العبثية كما لمسها غسان ، ولكني لم أتشمع من هالتها لأن هذا الأخير حين أراد أن يبني فلسفة اللاحياة و اللاقدرية و التصوف المصيري غاب عن ذهنه الخط المخابراتي / التحليلي للقصة ، قفز عن الهيكل ليصل إلى المعنى ، و هذا كان خطأ مريرا لا يغتفر ، فأن تبني قصة فلسفية / فكرية عليك في البدء أن تخيط الثوب على مقاسات واسعة حتى لا يمسكك القارئ من ضيق و يحشرك في أسئلة أنت نفسك تجاهلتها .. لدينا قضية قانونية كان هذا هو الهيكل ، لكن لنصل إلى المعنى كان لزاما أن نتحاشى عثرات البناء القضائي و الترافعي المحامون حتى نستقبل ما عجنه لنا غسان و لعمري كان هذا الوجه المشين لهدا العمل .. إجمالا : لا تبحث أيها القارئ عن قاتل ليلى و لا تبالي ، فقط اعترف أن كل ما يتيحه لك القدر إما إلزاما بمعاناة أو رفاهية بفراغ .
"
