Original text,Original Tag,Senti score,Senti words,Prediction
"as a child of the 80's, i have seen rubik's cubes of all shapes, colors, and sorts.  i've never been particularly good at them, but i always like to pretend.  i was sent this innovative version of the rubik's cube for free from the manufacturer to review.  when i first took it out of the plastic bag, i was a bit shocked.  it was covered in a slimy thin greasy film that got all over my fingers.  it was like some sort of machine oil to keep it slick.  whatever it was, it took me a long time to wipe it off.  it was really gross.once i got it clean, i played with the mechanism some.  as promised, it is a lot smoother than the original rubik's cube.  i liked the bright colors and the fact that they are not stickers but rather colored blocks.  it seemed like would be a lot of fun it even includes a velvet storage bag.unbeknownst to me, my son noticed the cube on my desk of items &#34;to be reviewed&#34; and took it upon himself to try to solve the puzzle.  somehow he ended up popping out some of the cubes.  once a few came loose, it was a cascade of loose plastic parts.  i am trying but i can't figure out how all of these things go back together again.so it's greasy when you get it and breaks easily.  i'd recommend you pass or just get the original rubik's cube.note: i received a free sample for the purposes of review.",Negative, 0.2692307692307693,good like pretend innovative free shocked greasy like slick time clean promised smoother original liked bright like fun loose loose greasy breaks easily recommend original free,Negative
"my boy hasn&#8217;t become a thomas the train fanatic yet, so maybe that&#8217;s why he is not that much into this toy. he just doesn&#8217;t care.from my perspective, and after evaluating and playing with many toys, i find this toy, simply put, a waste of money. it has an extremely limited ability to entertain a child for a long time, it doesn&#8217;t encourage creativity or even multiple use. there is nothing to this train set bit just sliding the train down a slide. and there is a dinosaur. you can have additional fun if you buy more trains.the assembly was easy, although the instructions are very poor, especially the drawings.i would definitely rather invest into some melissa and doug or b toys instead. they actually think about children while creating their toys instead of just pushing merchandise.",Negative, 0.36363636363636365,fanatic many waste limited entertain time encourage creativity fun easy poor,Negative
"after an heroic effort to liberate this toy from its complex packaging and multitude of straps, tape, and ties (one might think nitroglycerin was being transported) i set up the playhouse. it is very cheap and flimsy and the music has but one volume setting which is extra loud. the moving parts are awkward and difficult to operate. julius will go down the short slide and that is the besti can say about this lame and unimaginative toy.",Negative, 0.6363636363636365,heroic liberate complex cheap flimsy extra loud moving awkward difficult lame,Negative
"try as i might, i cannot think of anything positive to say about this product.  suggested for  children 18 months - 5 years, it would not likely stand up to the grabbing and banging that the babies would give it.  particularly the very flimsy ramp. the &#34;shellevator&#34; works poorly and the roll down the ramp generally results in a crash landing.  this is another tie-in toy that lacks many of the components to complete the set ~ such as the ambulance and helicopter, requiring the purchase of multiple additional pieces that are (subject to availability) conveniently pictured on the box.  over-priced and of limited interest/value",Negative, 0.5454545454545455,positive give flimsy works poorly crash lacks many conveniently overpriced limited,Negative
"very flimsy and not that exciting.  if you have 2 or 3 year old who is gentle, they may enjoy this. 4 or 5 years olds will bore quickly and probably break it very quickly.  save you money and wait until your kids are older for a slot car racing set.",Negative, 0.42857142857142855,flimsy exciting gentle enjoy bore break save,Negative
"this could have been built soooo much better. it's built very cheap... lots of cardboard inserts. the bed is super skinny and low low to the ground., even with the little legs out. the mirror is hardly reflective and i don't think the dolls fit well with the backgrounds. the doll was the only thing here, that someone might want. the idea is good, but could have been constructed so much better. i expected so much more for $50.00",Negative, 0.2222222222222222,better cheap super skinny fit well idea good better,Negative
"i have said this before, but toy companies have gone really cheap with the way they make the toys now.  this thing isn't going to last, so cheaply made, a lot of the items are cardboard.  it was a cute concept but porely executed.  and for $50, i mean really.  i am not surprised because mattel made the monster high house for $80 and it was just as poorly made, but without all the cardboard, they changed to cardboard and cut the cost by $30, i am unhappy either way.  we all remember the days when playsets were made better and cost less!  doll houses growing up, gi joe playsets, starwars ships, etc.  seriously this is just crap.  even now, playsets for boys are far more creative and better made - teenage muttant ninja turtle lair for example.  the thing is huge and made better than this playset.  ok, enough of my rambling, my daughter loves it, she doesn't know better, but i know the thing will be in next years garage sale.",Negative, 0.35294117647058826,cheap cheaply cute surprised monster poorly unhappy better crap creative better huge better ok enough loves better,Negative
"with three young girls at home, one being a huge monster high fan, the kids were quite excited and had high hopes for this playset.  after getting a lecture from my 8 year old on the difference between monster high and ever after high and the origins of briar beauty, i realized i was in over my head and just moved onto the assembly portion on the set.assembly for me took just under 20 minutes.  i had no specific issues except i did not realize the ""spine"" of the book was actually a storage area where the bed was stored.  also, the railing at the very top of the set was missing in my set, or it is hidden well enough that i never found it.  while i did not spend any time playing with the set, my impression of the set was not very favorable.  to me, the set seemed flimsy and not very sturdy.  i then turned it over to my three children to test.8 year old:  my eight year old really liked the doll and accessories.  however, they specifically said that they thought the house ""was a mess"".  they also commented that it was hard to get the mask on the doll.  they gave the set 3 stars, attributing most of the rating toward the doll, which they loved.10 year old:  their exact words are ""i wouldn't give this as a present to anyone.""  they hated the fact the dj stand in the house was made out of paper and they felt the set would not withstand any significant usage.  they also mentioned they thought the hands pop off the doll real easy.  they gave the set 1 star.6 year old:  similar to my 10 year old, my 6 year old did not like the fact the dj stand was made out of paper.  they commented that it was really hard to get the doll in the dj stand and have the dj stand keep the right shape.  they only gave the set 1 star as well.personally, i do think the set feels cheap and i am disappointed that it came missing a piece.  i will give the set some kudos for the overall design, how the bed is stored, and how compact the set can become for storage.  however, i was just not impressed with the execution of the idea.  if i had paid the current price of $49.99, i would have felt a little ripped off.  i would give the set 3 stars, but i am deducting a star for the missing piece, giving the set a rating of 2 stars.after having the set for several weeks, it pretty much sits on the side unplayed with.  my children also got thebarbie sisters life in the dreamhouse camperaround the same time and that playset is still being used on a daily basis while this one collects dust.averaging all our ratings together, as a family, we gave the set a mean rating of 1.75 stars which i will round up to 2 stars.",Negative, 0.26829268292682923,young huge monster excited monster beauty moved issues top well enough time favorable flimsy sturdy liked mess hard give hated significant real easy like hard right cheap disappointed give kudos compact impressed idea ripped give giving pretty life time still family,Negative
"i figured this one might prove popular with my kids, given their recent obsession with monster high.  ever after seems very similar, and both of my daughters have an affinity for creating involving dolls and their play settings.  however, i came away pretty disappointed with this one given the disparity between the list cost and the quality.i like the storybook idea, and how easily everything rolls up, and the backdrops are aesthetically pleasing.  the briar beauty doll will also be enjoyed, at least by those who don't already own a version of said doll.  what i didn't like is that the storybook backdrops are almost made of flimsy cardboard that does not stand up over time.  even some of the plastic pieces, such as the bed chair, are so thin that they've got no chance to stand up to repeated use.if your child enjoys ever after high, i'd recommend sticking with the dolls.  at this price, the value just isn't there.",Negative, 0.15789473684210525,popular obsession monster affinity play pretty disappointed like idea easily pleasing beauty enjoyed like flimsy time enjoys recommend value,Positive
"first, this is not for a teenager.  anyone attempting to state that it is, is wrong.  if a teenager pulled this thing out of their backpack they would instantly lose all their friends and be chastised by their classmates until the end of time.  this is for kids under the age of ten who all want to be teenagers and don&#8217;t understand what it really means to be a teenager.  thus, my six year old begged for this.  she was so excited when i handed it to her.  privacy!  voice recognition!  invisible ink!  secret compartment!  she flashed it around and told us we&#8217;d never get inside.  little did she know, neither would she.  yup, that voice recognition is a total joke.  my daughter can ramble off her password as clear as day and alarms will go off and that annoying british chick will tell her she&#8217;s an intruder or something like that.  couple that with the fact that she only has 25 very small sheets to write on and a bulky journal that won&#8217;t really fit nicely in anything and you have yet another waste of a toy.  still, she pretends to love this and when she is able to open it, she uses it and pretends to be sixteen, so joy to our world.",Negative, 0.30434782608695654,wrong instantly lose time understand excited privacy recognition invisible recognition joke clear annoying like bulky fit nicely waste still love able open joy,Negative
"i applaud mattel's marketing department for trying to make this embarrassingly simple game seem ~t0t@lly @w3s0m3~ but ultimately it is exactly what you think it is: ping pong balls and a connect four board.the concept is as follows: you draw a card with a pattern on it. you try to create the pattern by bouncing balls into the grid. the first one to land the pattern wins. yay!as is the case when you intentionally bounce ping pong balls, they have a tendency to go everywhere. unlike actual connect four, you will be spending 90% of the time chasing after the rouge balls. expert ball bouncers may find the game slightly more rewarding if they are consistently able to keep the balls on the board.i will offer some praise to the grid itself, which does have a fairly high success rate at landing the ball into a slot. as long as you don't hit one of the separator pegs (which is very likely) the ping pong ball will land easily into place. it's also a game that is easy to learn and teaches some skills that may translate to a higher angry birds score.according to the box, this game allows up to 4 players. i'm assuming if you have 4 players it has to be teams of two, however, because otherwise the game would be impossible (there are only two colors of balls and some patterns require 5-balls to complete).overall: this game is exactly as fun as you would expect, or probably less than you would expect. the game of throwing balls into grids is not original. i've seen the game at fairs and amusement parks plenty of times. the difference, however, is the size of the board. if the board were twice as large or even larger, it would be significantly more exciting and would reduce the likelihood of the ball going wild across the room. ultimately bounce off is one of those games that will be played with for approximately 30 minutes and then hidden away in the dark corners of a closet for many years until finally being donated to the local good will.",Negative, 0.19230769230769232,applaud embarrassingly simple connect create wins connect time rewarding consistently able praise fairly success easily easy learn angry impossible fun original exciting wild dark many good,Positive
man this figure is a big let down. he has no articulation and he can't stand on his own unless his tail is down. i only recommend is you are building groot.,Negative, 0,recommend,Positive
"the ahem &#34;baf&#34; rocket was better. this has poorer articulation somehow and while it includes the &#34;big&#34; baf piece, this should have been an accessory to another character.funny thing is, toy biz made great hobbits(tiny characters for lotr) articulated so rocket seems like a hasbro cop-out on the side of cheapness.two stars because poorly executed, but heck the gun that goes with star lord was nice to have included with rocket..",Negative, 0.42857142857142855,better poorer great like poorly heck nice,Negative
"i may be in the minority here, but i was disappointed with the dohvinci flower tower complete frame kit.  insert the nifty tube into dispenser and with two hands, a 7 year old was able to squeeze it out.  the deco doh doesn't stick to the frame. the kids began just squeezing it out and pushing it onto the frame. the frame...wobbly when standing...picture opening is very small.  this purchase will give you, at best, 30 minutes of playtime.",Negative, 0.16666666666666666,disappointed nifty able opening give best,Positive
it look interesting and fun in the beginning but my granddaughter became quickly frustrated. the tower is flimsy and awkward to use. the entire project was hard to use especially trying to squeeze the tubes needing two hands and more likely three. i don't like to give bad reviews but in all honesty i am being generous by giving the dohvinci flower tower one star. disappointed.,Negative, 0.46153846153846156,interesting fun frustrated flimsy awkward hard like give bad honesty generous giving disappointed,Negative
"a big mess.i can't even &#34;draw&#34; with a glue gun, why should i expect my child to be able to do it with any precision, especially with play-doh that doesn't dry.this concept is just bizarre. you decorate with play-doh. i thought maybe it was something different, that will dry and become decorative.nope. dries just like play-doh.she enjoyed playing with it, but became frustrated as it fell off, or didn't dry. then the frame kept falling. it wouldn't stand up well. something different - a for effort, just failed on delivery.",Negative, 0.5,able precision bizarre like enjoyed frustrated fell falling well failed,Negative
