Senti score,Senti words,Original Tag,Original text
Positive,disappointing treated many service pay cash request pay cash first time live style reason lack confidence cleanliness first place room bad,Negative,"disappointing. Some employees treated many brains. Everything. Room service is required to pay cash, and any request is required to pay cash. The first time I live in a hotel that deals with the style. Is the reason lack of confidence in the guests and cleanliness? The first place in the room is bad.
"
Positive,disappointing large apartment apartment metro presence inside apartment water time bad every morning,Negative,"disappointing. The large area of the apartment. After the apartment from the metro, the presence of insects inside the apartment, not filling water and only one time, the views are very bad, the smells of Indian eating every morning
"
Positive,worst read worst undisputed many notes intended write long review feel exhausting reading feeling sleep last exhausted trip sleep forget,Negative,"One of the worst novels I have read or is the worst of them is undisputed, I have very many notes on it, and I intended to write it in a long review, but I feel it is very exhausting after reading it, and I have a feeling that I want to sleep at last after a exhausted trip, and I do not want to sleep. Except when I forget her.
"
Positive,truly epic father killed prince tried betray country concealed matter everyone burden father protect honor glory condemn death alive spit mob palm easier honor honor crown glory manhood beautiful mighty enemy revenge injustice injustice weakness elongation strength abundance worthy revere mercy look eye justice charity weakness strength abundance know honor honor soul virtue witty witty subtle calamity except pride pride contempt rich poor strong weak master black authority upon omnipotent enemy depends strength support day except strength penalty kind work wrong hypocritical claim virtuous deny despise offender disdain innocent claim delude people guilty disclose speak openly believe talking leave plead know crown within reach hand enemy noble crown crown honorable honor virtue happiness shed eye great cry day life sword stroke curse spear burst arrow voice gossip loud weak sadness bereavement cry shed single tear newspaper unseen misery standing sword honor severe owner humiliating hurtful nail humiliation,Negative,"It is truly an epic, Constantine, his father killed the prince because he tried to betray his country and concealed the matter from everyone, and then he bore the burden of betraying his father to protect his father’s honor and glory .. They did not condemn him to death, but by staying alive, he got the spit of the mob and the palm of them. Death on him is easier than trampling on his honor ..... honor ..... the man’s crown and his glory .... if he goes, there is no manhood or men .. from the beautiful lines .... we are now at war with a mighty and compelling enemy We take revenge on him for his injustice, his injustice, his weakness, and his elongation on us with his strength and abundance, so it is worthy of us not to do what we revere from him and take him with, so that God may have mercy on us and look at us with an eye of justice and charity and equals our weakness Of his strength, and we said of his abundance .. I do not know an honor other than the honor of the soul, nor proportions other than the proportions of virtue .. We have not been afflicted with what we have been afflicted with by this witty, witty and subtle calamity that befell us .... except in terms of our pride, our pride and our self-esteem in All our affairs and deeds, and the contempt of our rich for our poor, and strong for our weak, and our master for our black deeds, so the authority of God is upon us that omnipotent enemy who depends in all his affairs and positions only on his strength and his support, because we are not used in any day of our lives in all our prayers and relationships except on our strength, our hands, and the penalty. The same kind of work, and God did not wrong them, but they themselves were wronged .. People are hypocritical debates They claim to themselves virtuous and privileges what their souls deny of them, they despise the offender and disdain him not because they are innocent as they claim, but rather to delude people that they are not guilty, even if they disclose or speak openly and believe each of its companions by talking about themselves so that you will leave and plead, and when no one of them takes sin Jarrarah .. You know, Father, that the crown that he takes within his reach from the hand of his enemy is not a noble crown .... but it is a crown in any case .. The honorable man who lives from his honor and virtue in happiness congratulates the ideals of kings in their palaces .. Here the man shed this eye The great who did not cry in one day of his life for a sword stroke, or a curse of a spear, or a burst of arrow, and The voice of his wailing and gossip loud as the weak women do in their sadness and bereavement, and it would not have been like to cry or shed a single tear from his tears if the one who wrote to him in the newspaper of the unseen from misery, was standing between the sword and the stabbing .... but it is honor, very severe to Its owner descends with him humiliating descending, or that a hurtful nail of humiliation is approached by him.
"
Positive,experience repeat internet cafe,Negative,"An experience that I will not repeat again. . There is no internet, there is no cafe
"
Positive,well new night manager give receipt amount colleague room register colleague visitor,Negative,"Treat it very well. I did not like anything. In a new night manager, he took a dirham from me and did not give me a receipt for the amount. Arguing that my colleague in my room did not register as a colleague, but he registers as a visitor
"
Negative,bad family children old furniture,Negative,"Very bad . . There is no family of children with very old furniture
"
Positive,love breathed soul universe forgiveness oppress equate love love mockery read equal deprive love love gall rage equal anger cry really desertion separation disease death right amount,Negative,"And how does he not love us who breathed in us from his soul, and prostrated his angels to us, mocked his universe and opened the treasures of our forgiveness to us, but oppress him if we equate his love with any love from these mockery that we read .. Rather, it is not equal to deprive us of his love depriving us of any love or depriving us of Any gall .. and his rage does not equal any anger .. And for our sins we must cry really, and not for any desertion or any separation, or any disease or any death. And that is the case of those who appreciated God the right amount.
"
Positive,principle historical mistake novel burned guardian unfortunate review every time know first house hear book described people people recently unjust scabby different need truth book much less village first say last number concluded silly story deserve paper consolation village know give way pay two book fair know review pure literary criticism personal opinion novel smell literature novel story amulet whole story story brain every preparation cocktail,Negative,"It is in principle. Away from the historical mistake in the novel, it is Tariq ibn Ziyad who burned the ships because he was not a guardian. Because he is the unfortunate pasha, he does not review himself every time. I don’t know how, in one of the first authors for the youngest one in the publishing house, I would like to hear that this book is originally described. Despite all the warnings that people wrote here, I only said people recently, and I am unjust to them, Nabil Farouk Kawi. So I said scabby can be in a different need. But the truth is that it is a book that is very much less than any other village it needs before. At first, I used to say that it is the last of which a number of cocktails are worked out for us. But after I concluded it, especially the silly end of it. This story does not deserve to be printed on paper. My only consolation is that I have a PDF and muddish village in it. I don&#39;t know, I used to give myself a way to pay EGP two years when I went to the book fair. I know that the review is not pure literary criticism and it is a personal opinion. But the novel does not even smell literature even. Reducing the novel tells the story of the amulet through the ages. In the end, the whole story tells the story of Atlantis, which is Nabil Farouk, so our brain closed it in every preparation of a cocktail.
"
Positive,interested customer comfort level day day service available rarely reception staff rarely answer phone,Negative,"Not interested in customer comfort. Breakfast was variable level from day to day. Room service is only available rarely, and reception staff rarely answer the phone
"
Positive,loss expensive type harsh entertainment venue expensive,Negative,"loss . . The hotel is very expensive compared to the type of rooms. The beds are very harsh The hotel treats as an entertainment venue. The services provided are very expensive
"
Positive,management inappropriate way place quiet available class cleanliness excellent cleaner administration superior style level addition taking amount extra value,Negative,"The management deals in an inappropriate way and the place is quiet. Breakfast is available. Fourth class cleanliness is excellent. Room cleaner. The administration and its superior style with the inmates. Breakfast was not up to the required level, in addition to taking or reserving a dirham amount until leaving and the extra value is forbidden to take anyone to the rooms.
"
Positive,heavy load forced trouble miss literary masterpiece world narration disbelief bad breathed soul piece candy form bird,Negative,"It was a heavy load on me, I forced myself to the trouble of finishing it so that I would not miss the literary masterpiece that occupied the world and occupied the shelves of the best-selling..I found only a narration with all kinds of disbelief, bad manners with God, and the dignities and miracles of the Dervishes that I reached that breathed the soul with a piece of candy that formed In the form of a bird.
"
