Senti score,Original text,Original Tag,Prediction,Senti words
 0,"Wonderful. The location is excellent, close to all amenities, quiet staff, and a special thanks to the receptionist, companion for professionalism in handling and good reception.
",Positive,Positive,excellent quiet special good
 0.21428571428571427,"Taste the taste of the grill and enjoy the experience. A friend said to me about his experience in tasting the food they had, which attracted me to try it. When I go to it, I had difficulty finding a position because of the zahk. He reminded me of pick-up flavors, the taste for rice is frankly all similar to the flavor of the spice is overwhelming and this means no distinctive taste the chicken is well roasted and spices maggie one of its components that are placed inside the chicken gives a new flavor to the grill chicken and is the same mixture that the West puts inside the turkey the cause of the noise and Fame is that it is by style restaurants For fast food in the demand mode and queue numbers
",Positive,Negative,enjoy experience friend experience food difficulty overwhelming distinctive well new noise style fast food
 0.38461538461538464,"I finished reading it two days ago ... I remember that I could not close the book and my tears did not spill .. not because it is new .. The most painful thing about a new wound is when a writer brilliantly exudes what you keep between the corners of your memory .. that story .. These events .. The amount of life and pain all passed through me according to the names and location .. Amazing How are our stories similar to the limit .. Ghassan managed to convey that image and unlike the criticism that was directed to him the simplicity that he wore was closer to my heart I feel everything .. I was full of it .. and still .. awesome
",Positive,Negative,new painful new wound brilliantly life pain limit criticism simplicity heart still awesome
 0.5555555555555556,"A wonderful book for Fahmy Howeidi. A book that responds and refutes the claims of the laymen, four Egyptian writers And their allegations that the application of Sharia is not appropriate. I liked his style and his way of explaining to the reader their lies, slander and ridiculous arguments. Worth reading
",Positive,Negative,wonderful refutes allegations appropriate liked style lies slander ridiculous
 0.2857142857142857,"good. The staff is very helpful and the cleanliness is calm suitable for families and close to restaurants and supermarkets. The internet is slow, the parking is very narrow and the pool is bad
",Positive,Negative,good helpful cleanliness calm suitable slow bad
 0.6666666666666666,"good. Health club breakfast. There is an unpleasant smell in the bathroom
",Positive,Negative,good unpleasant smell
 0.8333333333333333,"No wonder the writer of the novel committed suicide, a novel with pages of intense psychological struggle that makes you think about suicide. As soon as I read it for a few hours, I felt a severe numbness, so how was the psyche of its writer
",Positive,Negative,wonder suicide intense struggle suicide severe
 0,"Ideology is like water and air. O Muslim, I know and know your faith, may God have mercy on our blond Sheikh
",Positive,Positive,like water air faith mercy
 0.1111111111111111,"Ahmed Al Shugairi is a person whose words are not enough for me to express the feelings of goodness, peace, mercy and goodness within me. This introduction came to classify the thought that I can talk about when I talk about something that he has supervised as a writer or regarding his thoughts .. A beautiful book differs somewhat in its content The book is divided into two parts The first section, which talks about Ahmed Al Shugairi&#39;s journey to India and the second section which In it he tells us about his journey with Gandhi, the most important and greatest of the things that he took his way to tell us about the genius Gandhi. In general, the book is very beautiful in its idea and it contains some real information, which clearly wrote utterly to solve some societal issues. I did not content myself with the first section and I wanted to extend the trip to get to know India more, which will motivate me to visit India.
",Positive,Positive,enough goodness peace mercy goodness beautiful content important greatest genius beautiful idea real clearly utterly issues content motivate
 0.125,"good. New, very clean, good location for the campus. Very bad service until I transport the bags. I did it myself, even the number of beds in the rooms. For the third time, I imagine I am a mahram, sending a cleaner to the room, and we find a family. Finally, after a complete roll on the fourth floor, there is no TV. Workers say the dish is not installed. There is no villa.
",Positive,Positive,good clean good bad service time cleaner family
 0.14285714285714285,"Great hotel and respectful of customers. Everything I liked about the hotel is the staff is very friendly, respectful and respectful of the guest. The mattress is very rough, the pillows didn&#39;t work for me ... it might suit someone else
",Positive,Positive,respectful liked friendly respectful respectful rough work
 0,"Dubai&#39;s finest hotels. Everything I liked: The location of the hotel overlooks the sea and is wonderful..General services and room services are fast..Planning the hotel community more than beautiful..Respection personnel were a summit in magnificence, especially Professor Ahmed..Egyptian nationality .. I advise everyone to deal with them I spent the most beautiful days In this hotel as most of my photos in Dubai are pictures of antiques, swimming pools and restaurants of the hotel .... nothing
",Positive,Positive,finest liked community magnificence beautiful
 0.5,"A mixture of history, sociology and psychology with an ironic style and objective methodology
",Positive,Negative,ironic style
 0.5,"Excellent . Everything is perfect. The price is expensive two pills
",Positive,Negative,perfect expensive
 0,"A really interesting book ... Ben Nabi, the teacher, accompanies you in the details of his life
",Positive,Positive,interesting life
 0.06060606060606061,"I ruined this novel, oh God, hahahahahahahaha. Firstly, the novel is more than wonderful. Its idea is very powerful and real. It will be a reason, so many people change, and I am the first of them .. It really changed many needs. This is from me. I read it and felt the sweetness of faith and closeness to our Lord. And what we have all our sins and sure of our Lord will reward you with all the good that will change because of you will be that God willing, in your company in paradise ... but I wanted to say, I also need something, at the beginning, I wanted to complete the novel for the other because I liked it, but the way the story was narrated was not interesting enough enough, I was thinking of complementary because of this, but thank God I completed it for the end because its end is a masterpiece Hard and has a strong message, I may not be able to hold myself It is laughter about the unexpected end, but it is a real bigger greeting to you, you are a talented writer, and good luck, God willing, in the upcoming works.
",Positive,Positive,ruined wonderful idea powerful real reason many change many sweetness faith closeness reward good change willing paradise liked interesting enough enough complementary thank masterpiece strong able unexpected real talented good luck willing works
 0,"Thanks to the staff and for the reception. The location and services of the smiling staff. There is no
",Positive,Positive,smiling
 0,"good. . Wi-Fi is not free, while in less apartments it is free
",Positive,Positive,good free free
 0,"Exceptional. A new hotel and another new area in Dubai It seems that this hotel will be among the prestigious hotels in Dubai as it chooses the staff carefully.
",Positive,Positive,new new prestigious
 0.2857142857142857,"The novel is excellent, and its style is completely new to it, from the most beautiful novels. Elly, her village after Azazel. A short sentence, but it is expressive and extremely beautiful. I still remember some of her sentences. Eazinb, and I keep writing to you, you start imposing your presence. On a faded entity, he continues to do me a drink, giving him a chance to show off. Love is the state of Alana&#39;s identification with the other. Yazinab never absent and present in the conscience. I am the one here I am not who I was. Sadness, human beings varied from resident and from transit. Optimism is a great risk for my likes. Her face took her astonishment. It is hard for one to live without losing his reasons for being alive. Unaware, I am the extent of irresponsibility, or foolish, the extent of stupidity
",Positive,Negative,excellent style new beautiful beautiful still start imposing presence giving human great risk likes astonishment hard live losing alive foolish stupidity
 0,"A wonderful...
",Positive,Positive,wonderful
 0,"With confidence, the best novel published in so far.
",Positive,Positive,confidence best
 0,"Wonderful. everything. Booked a smoker room and not available
",Positive,Positive,available
 0.25,"Razavi Ashour completed the journey of creativity .. This is something that is full of words .. I loved very dearly and lived with her every moment. . There is only one mistake. At night, there is no description of Razavi originally. May God have mercy on you, Razavi
",Positive,Negative,creativity loved mistake mercy
 0,"I have another experience. Excellent cleanliness. The services are far
",Positive,Positive,experience cleanliness
 0,"Excellent . everything. No free Wi-Fi in the rooms
",Positive,Positive,free
 0.5714285714285714,"My dream was that the worry would go away from me. At your door. It was my dream to see my grave. On your doorstep. I hinted as a technician and it was a wave. More merciful than your torment And I spared my homeland, a grave containing me in your soil. So I was confused with housing. And now hold back the shroud. What happened to you, my country? . I screamed and the words run from my mouth: these are countries ... they are not my country anymore
",Positive,Negative,dream worry dream merciful torment confused shroud
 0.14285714285714285,"A beautiful book, I love the simplicity of Ahmed El-Aidy, who is strong and has more than one masterpiece poem, such as: Thanks God. Jerk off to innocent desire. To check me. Orphan Paragraph. Small cut. The last one loves you. Why do I like it so much? Of course it is not possible for this masterpiece. I don&#39;t know when I stayed like this. Not possible. He does not love girls. Other than those who love pain. My chest is open to air. But I ... locked. What are you doing doctor? In what blindness hope. Even what I understood via it. Complementary. A railway that can be reposted. Do not forget. I have to run the tears. With cheap laughter. And always shy ... I don&#39;t know when I stayed like this. Not possible. I missed you, I found myself pocketing your name and pressing.
",Positive,Positive,beautiful love simplicity strong masterpiece innocent desire loves like masterpiece like love love pain open air hope understood cheap like missed
 0.23529411764705882,"Most people judge books based on the cover, which is common. As for others like me, I judge him from the beginning of his pages; the writing style is what makes me keep reading .. In this novel specifically, I read the first of its pages and felt like a continuation of another book, as the writer started to tell the story as if the reader knows what he is talking about .. I stopped reading I put the book aside, I was very surprised when I got this high evaluation? It is true that people&#39;s tastes differ, but everyone who asks and reads from him finds him praising him and saying, continue reading, they are wonderful. I didn&#39;t give them any attention, and I read several other books, but destiny wanted me to think about it, and I found a colleague of mine who encouraged me to read it with me .. I started and deepened, and I signed this book from those books that you find yourself thinking about and wondering about, I felt that I was actually with them , I felt the sadness that they feel, with joy, of resentment, and even of the taste of the pies they eat .. I lived with them their joy and their sorrow, and what more sadness. The novel begins with the grandfather and ends with the grandson of the granddaughter. You can imagine how many of the situations I lived with them ... I created Radwa Ashour in them, and I will definitely read everything I wrote, God willing.
",Positive,Negative,like style like surprised praising wonderful give destiny encouraged sadness joy resentment joy sorrow sadness many willing
 0.4,"We speak when the gates of peace are closed to us before our thoughts, and when we are unable to reach the state of stillness in the unity of our hearts, we turn to seize our lips, because the sound distracts us and entertains us, and in many of our words our thoughts almost explode from pain and gloom, because thought is a bird from space birds, which can simplify His wings are in the cage of words, but he cannot fly.
",Positive,Negative,peace unable unity entertains many explode pain gloom space simplify
 0.3333333333333333,"Wonderful. The location is excellent, and the breakfast buffet is great. The internet was weak
",Positive,Negative,excellent great weak
 0,"A beautiful novel, much more beautiful than the series ... The beginnings of Ahmed Murad
",Positive,Positive,beautiful beautiful
 0,"The comment of my older brother, Dr. Mohamed Ibrahim, on the book. : //. . / / .... A very important book, and I recommend reading it strongly. Especially for those who count themselves among the youth of the Islamic trend.
",Positive,Positive,important recommend youth
